,Date,Volume
0,1983-01-01,498.3089005235602
1,1984-01-01,2513.312
2,1985-01-01,5453.02
3,1986-01-01,11092.016
4,1987-01-01,20120.865079365078
5,1988-01-01,24231.29761904762
6,1989-01-01,30579.784860557767
7,1990-01-01,39726.63492063492
8,1991-01-01,35855.62055335968
9,1992-01-01,35542.89682539683
10,1993-01-01,42019.22709163347
11,1994-01-01,44630.46215139442
12,1995-01-01,39202.928
13,1996-01-01,39174.900398406375
14,1997-01-01,43179.06349206349
15,1998-01-01,53686.87250996016
16,1999-01-01,65580.856
17,2000-01-01,65820.20883534137
18,2001-01-01,67355.76518218624
19,2002-01-01,78910.252
20,2003-01-01,78748.784
21,2004-01-01,93962.04417670683
22,2005-01-01,96299.6015936255
23,2006-01-01,122327.66932270916
24,2007-01-01,230398.45136186772
25,2008-01-01,266928.22134387353
26,2009-01-01,268267.6349206349
27,2010-01-01,318009.30555555556
28,2011-01-01,316693.4880952381
29,2012-01-01,230616.26877470355
30,2013-01-01,217787.06772908368
31,2014-01-01,246551.25793650793
32,2015-01-01,363275.0238095238
33,2016-01-01,525564.6428571428
34,2017-01-01,556785.2016129033
